2026-08-11 23:23:31,192 | ERROR | builtins | Scenario FAILED: Verify website logo
2026-08-11 23:23:31,306 | INFO | builtins | Failure screenshot captured for: Verify website logo
2026-08-11 23:23:31,312 | INFO | builtins | Browser closed: Verify website logo
2026-08-11 23:23:31,313 | INFO | builtins | ===================================
2026-08-11 23:23:31,313 | INFO | builtins | BigBasket BDD Test Execution Finished
2026-08-11 23:23:31,313 | INFO | builtins | ===================================
2026-08-11 23:28:42,313 | INFO | builtins | ===================================
2026-08-11 23:28:42,313 | INFO | builtins | BigBasket BDD Test Execution Started
2026-08-11 23:28:42,314 | INFO | builtins | ===================================
2026-08-11 23:28:42,315 | INFO | builtins | -----------------------------------
2026-08-11 23:28:42,315 | INFO | builtins | Starting Scenario: Verify website logo
2026-08-11 23:28:44,776 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:29:01,169 | ERROR | builtins | Scenario FAILED: Verify website logo
2026-08-11 23:29:01,303 | INFO | builtins | Failure screenshot captured for: Verify website logo
2026-08-11 23:29:01,311 | INFO | builtins | Browser closed: Verify website logo
2026-08-11 23:29:01,311 | INFO | builtins | ===================================
2026-08-11 23:29:01,311 | INFO | builtins | BigBasket BDD Test Execution Finished
2026-08-11 23:29:01,311 | INFO | builtins | ===================================
2026-08-11 23:37:21,307 | INFO | builtins | ===================================
2026-08-11 23:37:21,308 | INFO | builtins | BigBasket BDD Test Execution Started
2026-08-11 23:37:21,308 | INFO | builtins | ===================================
2026-08-11 23:37:21,309 | INFO | builtins | -----------------------------------
2026-08-11 23:37:21,309 | INFO | builtins | Starting Scenario: Verify website logo
2026-08-11 23:37:23,951 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:37:40,178 | ERROR | builtins | Scenario FAILED: Verify website logo
2026-08-11 23:37:40,311 | INFO | builtins | Failure screenshot captured for: Verify website logo
2026-08-11 23:37:40,318 | INFO | builtins | Browser closed: Verify website logo
2026-08-11 23:37:40,318 | INFO | builtins | ===================================
2026-08-11 23:37:40,318 | INFO | builtins | BigBasket BDD Test Execution Finished
2026-08-11 23:37:40,318 | INFO | builtins | ===================================
2026-08-11 23:40:35,553 | INFO | builtins | ===================================
2026-08-11 23:40:35,553 | INFO | builtins | BigBasket BDD Test Execution Started
2026-08-11 23:40:35,553 | INFO | builtins | ===================================
2026-08-11 23:40:35,554 | INFO | builtins | -----------------------------------
2026-08-11 23:40:35,554 | INFO | builtins | Starting Scenario: Verify website logo
2026-08-11 23:40:38,057 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:40:39,217 | INFO | builtins | Scenario PASSED: Verify website logo
2026-08-11 23:40:39,327 | INFO | builtins | Browser closed: Verify website logo
2026-08-11 23:40:39,327 | INFO | builtins | ===================================
2026-08-11 23:40:39,327 | INFO | builtins | BigBasket BDD Test Execution Finished
2026-08-11 23:40:39,327 | INFO | builtins | ===================================
2026-08-11 23:42:55,885 | INFO | builtins | ===================================
2026-08-11 23:42:55,885 | INFO | builtins | BigBasket BDD Test Execution Started
2026-08-11 23:42:55,885 | INFO | builtins | ===================================
2026-08-11 23:42:55,887 | INFO | builtins | -----------------------------------
2026-08-11 23:42:55,887 | INFO | builtins | Starting Scenario: Search for Milk
2026-08-11 23:42:58,628 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:43:14,735 | ERROR | builtins | Scenario FAILED: Search for Milk
2026-08-11 23:43:14,870 | INFO | builtins | Failure screenshot captured for: Search for Milk
2026-08-11 23:43:14,878 | INFO | builtins | Browser closed: Search for Milk
2026-08-11 23:43:14,878 | INFO | builtins | -----------------------------------
2026-08-11 23:43:14,880 | INFO | builtins | Starting Scenario: Search for Rice
2026-08-11 23:43:16,735 | INFO | builtins | Chrome WebDriver initialized successfully
